DIALOGUE_ID,STEP_ID,SPEAKER,UTTERANCE,INTENT-SLOT,SENTIMENT
6,8,Agent,sure is there anything else to update,else(),neutral
6,9,User,instead could it be in rome,update(location=rome),neutral
6,9,Agent,sure is there anything else to update,else(),neutral
6,10,User,no,inform(NO),neutral
6,10,Agent,ok let me look into some options for you,inform(),neutral
6,11,User,<SILENCE>,silence(),neutral
6,11,Agent,api_call italian rome two cheap,api_call(),neutral
6,12,User,<SILENCE>,silence(),neutral
6,12,Agent,what do you think of this option: resto_rome_cheap_italian_6stars,option(),neutral
6,13,User,no this does not work for me,inform(NO),neutral
6,13,Agent,sure let me find an other option for you,inform(),neutral
6,14,User,<SILENCE>,silence(),neutral
6,14,Agent,what do you think of this option: resto_rome_cheap_italian_5stars,option(),neutral
6,15,User,no i don't like that,inform(NO),negative
6,15,Agent,sure let me find an other option for you,inform(),neutral
6,16,User,<SILENCE>,silence(),neutral
6,16,Agent,what do you think of this option: resto_rome_cheap_italian_4stars,option(),neutral
6,17,User,let's do it,inform(YES),positive
6,17,Agent,great let me do the reservation,inform(done),positive
6,18,User,what is the phone number of the restaurant resto_rome_cheap_italian_4stars,phone(res_name=resto_rome_cheap_italian_4stars),neutral
6,18,Agent,here it is resto_rome_cheap_italian_4stars_phone,inform(done),neutral
6,19,User,thanks,greeting(),positive
6,19,Agent,is there anything i can help you with,else(),neutral
6,20,User,no thanks,inform(NO),neutral
6,20,Agent,you're welcome,greeting(),neutral
,,,,,
7,1,User,hi,greeting(),neutral
7,1,Agent,hello what can i help you with today,greeting(),neutral
7,2,User,i'd like to book a table for two in a expensive price range,"restaurant(people=two,price=expensive)",neutral
7,2,Agent,i'm on it,inform(),neutral
7,3,User,<SILENCE>,silence(),neutral
7,3,Agent,any preference on a type of cuisine,request(cuisine),neutral
7,4,User,with spanish cuisine,inform(food=spanish),neutral
7,4,Agent,where should it be,request(place),neutral
7,5,User,paris please,inform(place=paris),neutral
7,5,Agent,What category restaurant are you looking for,request(category),neutral
7,6,User,two star,inform(category=two),neutral
7,6,Agent,ok let me look into some options for you,inform(),neutral
7,7,User,<SILENCE>,silence(),neutral
7,7,Agent,api_call spanish paris two expensive,api_call(),neutral
7,8,User,actually i would prefer in bombay,update(place=bombay),neutral
7,8,Agent,sure is there anything else to update,else(),neutral
7,9,User,instead could it be for four,update(people=four),neutral
7,9,Agent,sure is there anything else to update,else(),neutral
7,10,User,instead could it be with indian food,update(food=indian),neutral
7,10,Agent,sure is there anything else to update,else(),neutral
7,11,User,no,inform(NO),neutral
7,11,Agent,ok let me look into some options for you,inform(),neutral
7,12,User,<SILENCE>,silence(),neutral
7,12,Agent,api_call indian bombay four expensive,api_call(),neutral
7,13,User,<SILENCE>,silence(),neutral
7,13,Agent,what do you think of this option: resto_bombay_expensive_indian_5stars,option(),neutral
7,14,User,no this does not work for me,inform(NO),neutral
7,14,Agent,sure let me find an other option for you,inform(),neutral
7,15,User,<SILENCE>,silence(),neutral
7,15,Agent,what do you think of this option: resto_bombay_expensive_indian_4stars,option(),neutral
7,16,User,no this does not work for me,inform(NO),negative
7,16,Agent,sure let me find an other option for you,inform(),neutral
7,17,User,<SILENCE>,silence(),neutral
7,17,Agent,what do you think of this option: resto_bombay_expensive_indian_2stars,option(),neutral
7,18,User,i love that,inform(YES),positive
7,18,Agent,great let me do the reservation,inform(done),positive
7,19,User,what is the phone number of the restaurant resto_bombay_expensive_indian_2stars,phone(res_name=resto_bombay_expensive_indian_2stars),neutral
7,19,Agent,here it is resto_bombay_expensive_indian_2stars_phone,inform(done),neutral
7,20,User,thanks,greeting(),positive
7,20,Agent,is there anything i can help you with,else(),neutral
7,21,User,no thanks,inform(NO),neutral
7,21,Agent,you're welcome,greeting(),neutral
,,,,,
8,1,User,hi,greeting(),neutral
8,1,Agent,hello what can i help you with today,greeting(),neutral
8,2,User,may i have a table in a cheap price range in madrid with french food,"restaurant(location-madrid,food=french,price=cheap)",neutral
8,2,Agent,i'm on it,inform(),neutral
8,3,User,<SILENCE>,silence(),neutral
8,3,Agent,how many people would be in your party,request(people),neutral
8,4,User,for two please,inform(people=two),neutral
8,4,Agent,What category restaurant are you looking for,request(category),neutral
8,5,User,one star,inform(category=one),neutral
8,5,Agent,ok let me look into some options for you,inform(),neutral
8,6,User,<SILENCE>,silence(),neutral
8,6,Agent,api_call french madrid two cheap,api_call(),neutral
8,7,User,actually i would prefer in bombay,update(location=bombay),neutral
8,7,Agent,sure is there anything else to update,else(),neutral
8,8,User,actually i would prefer with indian food,update(food=indian),neutral
8,8,Agent,sure is there anything else to update,else(),neutral
8,9,User,actually i would prefer in a moderate price range,update(price=moderate),neutral
8,9,Agent,sure is there anything else to update,else(),neutral
8,10,User,no,inform(NO),neutral
8,10,Agent,ok let me look into some options for you,infrom(),neutral
8,11,User,<SILENCE>,silence(),neutral
8,11,Agent,api_call indian bombay two moderate,api_french(),neutral
8,12,User,<SILENCE>,silence(),neutral
8,12,Agent,what do you think of this option: resto_bombay_moderate_indian_3stars,option(),neutral
8,13,User,no i don't like that,inform(NO),neutral
8,13,Agent,sure let me find an other option for you,inform(),neutral
8,14,User,<SILENCE>,silence(),neutral
8,14,Agent,what do you think of this option: resto_bombay_moderate_indian_2stars,option(),neutral
8,15,User,no i don't like that,inform(NO),negative
8,15,Agent,sure let me find an other option for you,inform(),neutral
8,16,User,<SILENCE>,silence(),neutral
8,16,Agent,what do you think of this option: resto_bombay_moderate_indian_1stars,option(),neutral
8,17,User,i love that,inform(YES),positive
8,17,Agent,great let me do the reservation,inform(done),positive
8,18,User,may i have the address of the restaurant resto_bombay_moderate_indian_1stars,address(res_name=resto_bombay_moderate_indian_1stars),neutral
8,18,Agent,here it is resto_bombay_moderate_indian_1stars_address,inform(done),neutral
8,19,User,thank you,greeting(),positive
8,19,Agent,is there anything i can help you with,else(),neutral
8,20,User,no thank you,inform(NO),neutral
8,20,Agent,you're welcome,greeting(),neutral
,,,,,
9,1,User,good morning,greeting(),neutral
9,1,Agent,hello what can i help you with today,greeting(),neutral
9,2,User,may i have a table for eight,restaurant(people=eight),neutral
9,2,Agent,i'm on it,inform(),neutral
9,3,User,<SILENCE>,silence(),neutral
9,3,Agent,any preference on a type of cuisine,request(cuisine),neutral
9,4,User,with italian cuisine,Inform(food=italian),neutral
9,4,Agent,where should it be,request(location),neutral
9,5,User,in rome,inform(locatio=rome),neutral
9,5,Agent,What category restaurant are you looking for,request(category),neutral
9,6,User,three star,inform(category=three),neutral
9,6,Agent,which price range are looking for,request(price),neutral
9,7,User,i am looking for a cheap restaurant,inform(price=cheap),neutral
9,7,Agent,ok let me look into some options for you,inform(),neutral
9,8,User,<SILENCE>,silence(),neutral
9,8,Agent,api_call italian rome eight cheap,api_call,neutral
9,9,User,instead could it be in madrid,update(location=madrid),neutral
9,9,Agent,sure is there anything else to update,else(),neutral
9,10,User,actually i would prefer for six people,update(people=6),neutral
9,10,Agent,sure is there anything else to update,else(),neutral
9,11,User,no,inform(NO),neutral
9,11,Agent,ok let me look into some options for you,inform(),neutral
9,12,User,<SILENCE>,silence(),neutral
9,12,Agent,api_call italian madrid six cheap,api_call,neutral
9,13,User,<SILENCE>,silence(),neutral
9,13,Agent,what do you think of this option: resto_madrid_cheap_italian_8stars,option(),neutral
9,14,User,no this does not work for me,inform(NO),negative
9,14,Agent,sure let me find an other option for you,inform(),neutral
9,15,User,<SILENCE>,silence(),neutral
9,15,Agent,what do you think of this option: resto_madrid_cheap_italian_5stars,option(),neutral
9,16,User,no this does not work for me,inform(NO),negative
9,16,Agent,sure let me find an other option for you,inform(),neutral
9,17,User,<SILENCE>,silence(),neutral
9,17,Agent,what do you think of this option: resto_madrid_cheap_italian_4stars,option(),neutral
9,18,User,no i don't like that,inform(NO),negative
9,18,Agent,sure let me find an other option for you,inform(),neutral
9,19,User,<SILENCE>,silence(),neutral
9,19,Agent,what do you think of this option: resto_madrid_cheap_italian_3stars,inform(),neutral
9,20,User,let's do it,inform(YES),positive
9,20,Agent,great let me do the reservation,inform(done),positive
9,21,User,do you have resto_madrid_cheap_italian_3stars address,address(res_name=resto_madrid_cheap_italian_3stars),neutral
9,21,Agent,here it is resto_madrid_cheap_italian_3stars_address,inform(done),neutral
9,22,User,what is the phone number of the restaurant resto_madrid_cheap_italian_3stars,phone(res_name=resto_madrid_cheap_italian_3stars),neutral
9,22,Agent,here it is resto_madrid_cheap_italian_3stars_phone,inform(done),neutral
9,23,User,you rock,inform(),positive
9,23,Agent,is there anything i can help you with,else(),neutral
9,24,User,no thanks,inform(NO),neutral
9,24,Agent,you're welcome,greeting(),neutral
,,,,,
10,1,User,hello,greeting(),neutral
10,1,Agent,hello what can i help you with today,greeting(),neutral
10,2,User,can you book a table with indian food in madrid in a expensive price range,"restaurant(food=indian,price=expensive,place=madrid)",neutral
10,2,Agent,i'm on it,inform(),neutral
10,3,User,<SILENCE>,silence(),neutral
10,3,Agent,how many people would be in your party,request(people),neutral
10,4,User,for four please,inform(people=4),neutral
10,4,Agent,What category restaurant are you looking for,request(category),neutral
10,5,User,eight star,inform(category=eight),neutral
10,5,Agent,ok let me look into some options for you,inform(),neutral
10,6,User,<SILENCE>,silence(),neutral
10,6,Agent,api_call indian madrid four expensive,api_call(),neutral
10,7,User,actually i would prefer with british cuisine,update(food=british),neutral
10,7,Agent,sure is there anything else to update,else(),neutral
10,8,User,instead could it be in a cheap price range,update(price=cheap),neutral
10,8,Agent,sure is there anything else to update,else(),neutral
10,9,User,no,inform(NO),neutral
10,9,Agent,ok let me look into some options for you,inform(),neutral
10,10,User,<SILENCE>,silence(),neutral
10,10,Agent,api_call british madrid four cheap,api_call(),neutral
10,11,User,<SILENCE>,silence(),neutral
10,11,Agent,what do you think of this option: resto_madrid_cheap_british_8stars,option(),neutral
10,12,User,that looks great,inform(YES),positive
10,12,Agent,great let me do the reservation,inform(done),positive
10,13,User,what is the phone number of the restaurant resto_madrid_cheap_british_8stars,phone(res_name=resto_madrid_cheap_british_8stars),neutral
10,13,Agent,here it is resto_madrid_cheap_british_8stars_phone,inform(done),neutral
10,14,User,do you have resto_madrid_cheap_british_8stars address,address(res_name=resto_madrid_cheap_british_8stars),neutral
10,14,Agent,here it is resto_madrid_cheap_british_8stars_address,inform(done),neutral
10,15,User,thanks,greeting(),positive
10,15,Agent,is there anything i can help you with,else(),neutral
10,16,User,no thanks,inform(NO),neutral
10,16,Agent,you're welcome,greeting(),neutral
,,,,,
11,1,User,hi,greeting(),neutral
11,1,Agent,hello what can i help you with today,request(),neutral
11,2,User,may i have a table for two with italian food in a moderate price range,"restaurant(food=italian, price=moderate)",neutral
11,2,Agent,i'm on it,inform(),neutral
11,3,User,<SILENCE>,silence(),neutral
11,3,Agent,where should it be,request(location),neutral
11,4,User,in bombay,Inform(location=bombay),neutral
11,4,Agent,ok let me look into some options for you,inform(),neutral
11,5,User,<SILENCE>,silence(),neutral
11,5,Agent,What category restaurant are you looking for,request(category),neutral
11,6,User,eight star,inform(category=two),neutral
11,6,Agent,api_call italian bombay two moderate,api_call(),neutral
11,7,User,instead could it be with british food,update(food=british),neutral
11,7,Agent,sure is there anything else to update,else(),neutral
11,8,User,instead could it be in paris,update(location=paris),neutral
11,8,Agent,sure is there anything else to update,else(),neutral
11,9,User,no,inform(no),neutral
11,9,Agent,ok let me look into some options for you,inform(),neutral
11,10,User,<SILENCE>,silence(),neutral
11,10,Agent,api_call british paris two moderate,api_call(),neutral
11,11,User,<SILENCE>,silence(),neutral
11,11,Agent,what do you think of this option: resto_paris_moderate_british_8stars,option(),neutral
11,12,User,do you have something else,inform(NO),negative
11,12,Agent,sure let me find an other option for you,inform(),neutral
11,13,User,<SILENCE>,silence(),neutral
11,13,Agent,what do you think of this option: resto_paris_moderate_british_7stars,option(),neutral
11,14,User,that looks great,inform(YES),positive
11,14,Agent,great let me do the reservation,inform(done),positive
11,15,User,may i have the phone number of the restaurant resto_paris_moderate_british_7stars,phone(res_name=resto_paris_moderate_british_7stars),neutral
11,15,Agent,here it is resto_paris_moderate_british_7stars_phone,inform(done),neutral
11,16,User,thanks,greeting(),positive
11,16,Agent,is there anything i can help you with,request(),neutral
11,17,User,no thank you,inform(NO),neutral
11,17,Agent,you're welcome,greeting(),neutral
,,,,,
12,1,User,hi,greeting(),neutral
12,1,Agent,hello what can i help you with today,request(),neutral
12,2,User,i'd like to book a table for six people in a expensive price range with british food,"restaurant(price=expensive,people=6,food=british)",neutral
12,2,Agent,i'm on it,inform(),neutral
12,3,User,<SILENCE>,silence(),neutral
12,3,Agent,where should it be,request(location),neutral
12,4,User,in london,Inform(location=london),neutral
12,4,Agent,ok let me look into some options for you,inform(),neutral
12,5,User,<SILENCE>,silence(),neutral
12,5,Agent,api_call british london six expensive,api_call(),neutral
12,6,User,actually i would prefer for four,update(people=4),neutral
12,6,Agent,sure is there anything else to update,else(),neutral
12,7,User,no,inform(NO),neutral
12,7,Agent,ok let me look into some options for you,inform(),neutral
12,8,User,<SILENCE>,silence(),neutral
12,8,Agent,api_call british london four expensive,api_call(),neutral
12,9,User,<SILENCE>,silence(),neutral
12,9,Agent,what do you think of this option: resto_london_expensive_british_8stars,option(),neutral
12,10,User,let's do it,inform(yes),positive
12,10,Agent,great let me do the reservation,inform(done),positive
12,11,User,can you provide the address,address(res_name=resto_london_expensive_british_8stars),neutral
12,11,Agent,here it is resto_london_expensive_british_8stars_address,inform(done),neutral
12,12,User,do you have its phone number,phone(res_name=resto_london_expensive_british_8stars),neutral
12,12,Agent,here it is resto_london_expensive_british_8stars_phone,inform(done),neutral
12,13,User,you rock,greeting(),positive
12,13,Agent,is there anything i can help you with,request(),neutral
12,14,User,no thanks,inform(NO),neutral
12,14,Agent,you're welcome,greeting(),neutral
,,,,,
13,1,User,hi,greeting(),neutral
13,1,Agent,hello what can i help you with today,request(),neutral
13,2,User,i'd like to book a table in a expensive price range with french food in london,"Restaurant(food=french,price=expensive,location=london)",neutral
13,2,Agent,i'm on it,inform(),neutral
13,3,User,<SILENCE>,silence(),neutral
13,3,Agent,how many people would be in your party,request(people),neutral
13,4,User,for six people please,Inform(people=6),neutral
13,4,Agent,ok let me look into some options for you,inform(),neutral
13,5,User,<SILENCE>,silence(),neutral
13,5,Agent,api_call french london six expensive,api_call(),neutral
13,6,User,instead could it be in a moderate price range,update(price=moderate),neutral
13,6,Agent,sure is there anything else to update,else(),neutral
13,7,User,actually i would prefer in paris,update(location=paris),neutral
13,7,Agent,sure is there anything else to update,else(),neutral
13,8,User,actually i would prefer with spanish food,update(food=spanish),neutral
13,8,Agent,sure is there anything else to update,else(),neutral
13,9,User,no,inform(NO),neutral
13,9,Agent,ok let me look into some options for you,inform(),neutral
13,10,User,<SILENCE>,silence(),neutral
13,10,Agent,api_call spanish paris six moderate,api_spanish(),neutral
13,11,User,<SILENCE>,silence(),neutral
13,11,Agent,what do you think of this option: resto_paris_moderate_spanish_7stars,option(),neutral
13,12,User,no i don't like that,inform(NO),negative
13,12,Agent,sure let me find an other option for you,inform(),neutral
13,13,User,<SILENCE>,silence(),neutral
13,13,Agent,what do you think of this option: resto_paris_moderate_spanish_6stars,option(),neutral
13,14,User,no this does not work for me,inform(NO),negative
13,14,Agent,sure let me find an other option for you,inform(),neutral
13,15,User,<SILENCE>,silence(),neutral
13,15,Agent,what do you think of this option: resto_paris_moderate_spanish_1stars,option(),neutral
13,16,User,that looks great,inform(YES),positive
13,16,Agent,great let me do the reservation,inform(done),positive
13,17,User,may i have the address of the restaurant,address(res_name=resto_paris_moderate_spanish_1stars),neutral
13,17,Agent,here it is resto_paris_moderate_spanish_1stars_address,inform(done),neutral
13,18,User,may i have the phone number of the restaurant,phone(res_name=resto_paris_moderate_spanish_1stars),neutral
13,18,Agent,here it is resto_paris_moderate_spanish_1stars_phone,inform(done),neutral
13,19,User,thanks,greeting(),positive
13,19,Agent,is there anything i can help you with,else(),neutral
13,20,User,no thanks,inform(no),neutral
13,20,Agent,you're welcome,greeting(),neutral
,,,,,
14,1,User,hi,greeting(),neutral
